 "GUID","COLLECTION","CAT_NUM","DEACCESSIONED","TOPTYPESTATUS","SCI_NAME_WITH_AUTH_PLAIN","SPEC_LOCALITY","COLLECTORS","BEGAN_DATE","ENDED_DATE","COUNTRY","STATE_PROV","WATERBODY","VERBATIM_DATE","OTHERCATALOGNUMBERS"
"MCZ:Ich:168123","Ichthyology","168123","","","Gambusia affinis (Baird and Girard, 1853)","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=347"
"MCZ:Ich:168799","Ichthyology","168799","","","Seriola rivoliana Valenciennes, 1833","[no specific locality data]","James E. Craddock","1700-01-01","2010-03-01","","","Atlantic Ocean","[no verbatim date data]","field number=JEC-NODATA; group number=533"
"MCZ:Ich:165916","Ichthyology","165916","","","Venefica procera (Goode & Bean, 1883)","Station 521","Richard L. Haedrich, RV Chain 124","1975-07-10","1975-07-10","United States","","Atlantic, Northwest","10/7/1975-10/7/1975","field number=RLH521; group number=83"
"MCZ:Ich:167482","Ichthyology","167482","","","Platybelone argalus (Lesueur, 1821)","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=336"
"MCZ:Ich:167484","Ichthyology","167484","","","Scomberesox saurus (Walbaum, 1792)","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=338"
"MCZ:Ich:167491","Ichthyology","167491","","","Oxyporhamphus micropeterus","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=335"
"MCZ:Ich:167492","Ichthyology","167492","","","Exoglossum maxillingua (Le Sueur, 1817)","Adirondacks","[no agent data]","1700-01-01","2007-03-01","United States","New York","","[no verbatim date data]","field number=NY:ADIRONDACKS; group number=230"
"MCZ:Ich:168867","Ichthyology","168867","","","Sphoeroides spengleri (Bloch, 1785)","off Tague Bay, St. Croix, Virgin Islands","Leslie S. Kaufman","1981-07-01","1981-07-31","Virgin Islands of the United States","","Atlantic, Western Central","July-1981","field number=LSK81:07; group number=783"
"MCZ:Ich:169266","Ichthyology","169266","","","Etheostoma nigrum Rafinesque, 1820","Beaver Creek at Business 20 (St. Hwy) ~8.5 mi E Rockford","Rose Carlson","2008-08-17","2008-08-17","United States","Illinois","","17-Aug-2008","field number=RLC0818; group number=517"
"MCZ:Ich:171510","Ichthyology","171510","","","Etheostoma nigrum Rafinesque, 1820","Missouri Creek at St. Hwy 99 ~11 mi W Rushville","Rose Carlson","2008-08-18","2008-08-18","United States","Illinois","","18-Aug-2008","field number=RLC0823; group number=517"
"MCZ:Ich:172092","Ichthyology","172092","","","Pronotogrammus martinicensis (Guichenot, 1868)","Florida Current - St Augustine Section","James E. Craddock","1979-02-14","1979-02-14","United States","","Atlantic, Western Central","14/2/1979-14/2/1979","field number=MOC10-134,0; group number=476"
"MCZ:Ich:983","Ichthyology","983","","","Brachyplatystoma vaillanti (Valenciennes, 1840)","[no specific locality data]","Caleb Cooke","1862-01-01","1862-12-31","Tanzania","Zanzibar","Indian Ocean, Western","1862-1862","field number=CC:ZANZIBAR; group number=267"
"MCZ:Ich:3006","Ichthyology","3006","","","Phoxinus pernurus","Lake Baikal","Johannes D. E. Schmeltz, Jr.","1873-01-01","1873-12-31","Russia","Siberian Federal District","","1873-1873","field number=JDES:BAIKAL; group number=230"
"MCZ:Ich:8559","Ichthyology","8559","","","Pegasus volitans Linnaeus, 1758","Hong Kong Island","Captain Putnam","1700-01-01","2000-03-01","China","Hong Kong","South China Sea","[no verbatim date data]","field number=CP:HONG KONG; group number=463; previous number=1"
"MCZ:Ich:18624","Ichthyology","18624","","","Phoxinus phoxinus (Linnaeus, 1758)","Rhine River","Karl Gegenbaur","1700-01-01","1994-03-01","","","","[no verbatim date data]","field number=CG:RHINE; group number=230"
"MCZ:Ich:20169","Ichthyology","20169","","Voucher","Prochilodus vimboides Kner, 1859","Rio Paraíba do Sul, near city of Rio de Janeiro","Hassler Expedition, D. Bourget","1872-02-01","1872-02-29","Brazil","Rio de Janeiro","","0/2/1872-0/2/1872","field number=HASS:RIOPAR; group number=213"
"MCZ:Ich:29040","Ichthyology","29040","","","Neoditrema ransonneti Steindachner, 1883","Misaki, sagami","David Starr Jordan, John Otterbein Snyder","1700-01-01","1994-03-01","Japan","","Pacific, Northwest","[no verbatim date data]","field number=J&S:MISAKI; group number=599; previous number=SU"
"MCZ:Ich:32492","Ichthyology","32492","","","Zoarces elongatus Kner, 1868","W. Kamchatka","Pacific Fisheries Institute, Vladivostok","1918-06-15","1927-08-28","Russia","Kamchatka Krai","","[no verbatim date data]","field number=VLAD:KAM SOUTH*; group number=330; previous number=582"
"MCZ:Ich:32587","Ichthyology","32587","","","Tylochromis polylepis","Lake Tanganyika, Mpulungu","Arthur Loveridge","1930-05-09","1930-05-09","Zambia","","","9/5/1930-9/5/1930","field number=Z32587; group number=601"
"MCZ:Ich:40539","Ichthyology","40539","","","Chlorophthalmus agassizi Bonaparte, 1840","[coordinate data only]","RV Combat","1957-08-22","1957-08-22","","","Gulf of Mexico","22/8/1957-22/8/1957","field number=COMBAT438; group number=166"
"MCZ:Ich:40567","Ichthyology","40567","","Voucher","Bathypterois viridensis (Roule, 1916)","[no specific locality data]","RV Silver Bay","1959-06-08","1959-06-08","United States","","Gulf of Mexico","8/6/1959-8/6/1959","field number=SB1196; group number=167"
